Change Component Comment : Designator=H1 Old Comment=BH9VPC New Comment=Battery Holder
Change Component Comment : Designator=S1 Old Comment=JS202011SCQN New Comment=Slide Switch
Change Component Comment : Designator=S2 Old Comment=JS202011SCQN New Comment=Slide Switch
Change Component Comment : Designator=S3 Old Comment=JS202011SCQN New Comment=Slide Switch
Change Component Comment : Designator=S4 Old Comment=JS202011SCQN New Comment=Slide Switch
Change Component Comment : Designator=U2 Old Comment=LCD New Comment=LCD Screen
Change Component Comment : Designator=S5 Old Comment=PTS645 New Comment=Tactile Switch
Change Component Comment : Designator=S6 Old Comment=PTS645 New Comment=Tactile Switch
Change Component Comment : Designator=S7 Old Comment=PTS645 New Comment=Tactile Switch
Change Component Comment : Designator=S8 Old Comment=PTS645 New Comment=Tactile Switch
Change Component Comment : Designator=S9 Old Comment=PTS645 New Comment=Tactile Switch
Change Component Comment : Designator=IR1 Old Comment=TSOP382 New Comment=IR Receiver
